"OTU"	"Sample"	"Abundance"	"perc_SWHC"	"soil_type"	"block"	"product_name"	"cog_access"	"cog_name"	"cog_function"	"cog_category"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"gene_id_1760924"	"DL_50_4"	35499.6053352562	"50"	"DL"	"4"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_2456562"	"DL_50_2"	35397.390285894	"50"	"DL"	"2"	"ftsK, spoIIIE"	"COG1674"	"FtsK"	"DNA segregation ATPase FtsK/SpoIIIE and related proteins"	"Cell division and chromosome partitioning"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_2456493"	"DL_50_2"	31058.7996477397	"50"	"DL"	"2"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_1760894"	"DL_50_4"	30643.204605385	"50"	"DL"	"4"	"DNMT1, dcm"	"COG0270"	"Dcm"	"Site-specific DNA methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_11678060"	"DL_5_1"	30097.8644990828	"5"	"DL"	"1"	"K06904"	"COG3740"	"COG3740"	"Phage head maturation protease"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_2456436"	"DL_50_2"	30025.8018767506	"50"	"DL"	"2"	"PinR"	"COG1961"	"PinR"	"Site-specific recombinases, DNA invertase Pin homologs"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_12636874"	"DL_50_1"	28133.1723041797	"50"	"DL"	"1"	"COG5412"	"COG5412"	"COG5412"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Kineosporiaceae"	"Kineococcus"	"Kineococcus radiotolerans"
"gene_id_1760887"	"DL_50_4"	27428.4041222307	"50"	"DL"	"4"	"COG4422"	"COG4422"	"COG4422"	"Bacteriophage protein gp37"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_9051922"	"DL_5_1"	26972.5783434218	"5"	"DL"	"1"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_1760874"	"DL_50_4"	26744.404019432	"50"	"DL"	"4"	"PinR"	"COG1961"	"PinR"	"Site-specific recombinases, DNA invertase Pin homologs"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_1760917"	"DL_50_4"	26607.6039988722	"50"	"DL"	"4"	"dnaB"	"COG0305"	"DnaB"	"Replicative DNA helicase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_11678059"	"DL_5_4"	26255.703785714	"5"	"DL"	"4"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_2456487"	"DL_50_2"	25480.6116843984	"50"	"DL"	"2"	"K06919"	"COG3378"	"COG3378"	"Phage associated DNA primase"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_2456578"	"DL_50_2"	23896.6817688818	"50"	"DL"	"2"	"COG5323"	"COG5323"	"COG5323"	"Uncharacterized conserved protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_1760882"	"DL_50_4"	22845.603433479	"50"	"DL"	"4"	"COG5377"	"COG5377"	"COG5377"	"Phage-related protein, predicted endonuclease"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_917230"	"DL_50_2"	22725.9509617608	"50"	"DL"	"2"	"COG0675"	"COG0675"	"COG0675"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces sp. CNQ-509"
"gene_id_4244478"	"DL_50_3"	22377.2000050811	"50"	"DL"	"3"	"Tra5"	"COG2801"	"Tra5"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces hygroscopicus"
"gene_id_1760883"	"DL_50_4"	22366.8033615198	"50"	"DL"	"4"	"recT"	"COG3723"	"RecT"	"Recombinational DNA repair protein (RecE pathway)"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_11955491"	"IR_5_5"	20985.0619700769	"5"	"IR"	"5"	"Smc"	"COG1196"	"Smc"	"Chromosome segregation ATPases"	"Cell division and chromosome partitioning"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cyaneogriseus"
"gene_id_2456507"	"DL_50_2"	20935.4214920463	"50"	"DL"	"2"	"recT"	"COG3723"	"RecT"	"Recombinational DNA repair protein (RecE pathway)"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_11678057"	"DL_5_2"	20374.5148647469	"5"	"DL"	"2"	"COG4626"	"COG4626"	"COG4626"	"Phage terminase-like protein, large subunit"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_2456508"	"DL_50_2"	20177.8897933209	"50"	"DL"	"2"	"COG5377"	"COG5377"	"COG5377"	"Phage-related protein, predicted endonuclease"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_11678071"	"DL_5_5"	19723.0034108151	"5"	"DL"	"5"	"COG5412"	"COG5412"	"COG5412"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_1760890"	"DL_50_4"	19630.8029503247	"50"	"DL"	"4"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_2456505"	"DL_50_2"	18731.6929139361	"50"	"DL"	"2"	"dnaQ"	"COG0847"	"DnaQ"	"DNA polymerase III, epsilon subunit and related 3'-5' exonucleases"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_11678059"	"DL_5_2"	18713.8960983412	"5"	"DL"	"2"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_4913011"	"DL_50_4"	18262.8027447272	"50"	"DL"	"4"	"COG5412"	"COG5412"	"COG5412"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Frankiaceae"	"Frankia"	"Frankia sp. EAN1pec"
"gene_id_1760989"	"DL_50_4"	17989.2027036077	"50"	"DL"	"4"	"K03710"	"COG2188"	"PhnF"	"Transcriptional regulators"	"Transcription"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_9051921"	"DL_5_1"	17528.778873055	"5"	"DL"	"1"	"K06904"	"COG3740"	"COG3740"	"Phage head maturation protease"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_12636869"	"DL_50_1"	16046.3279068284	"50"	"DL"	"1"	"RfaG"	"COG0438"	"RfaG"	"Glycosyltransferase"	"Cell envelope biogenesis, outer membrane"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Kineosporiaceae"	"Kineococcus"	"Kineococcus radiotolerans"
"gene_id_1760884"	"DL_50_4"	15937.2023952114	"50"	"DL"	"4"	"dnaQ"	"COG0847"	"DnaQ"	"DNA polymerase III, epsilon subunit and related 3'-5' exonucleases"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_4354803"	"DL_5_1"	15762.3127850727	"5"	"DL"	"1"	"COG3953"	"COG3953"	"COG3953"	"SLT domain proteins"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces autolyticus"
"gene_id_11678060"	"DL_5_4"	15194.27302414	"5"	"DL"	"4"	"K06904"	"COG3740"	"COG3740"	"Phage head maturation protease"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_4354790"	"IR_5_2"	14857.6509536583	"5"	"IR"	"2"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces autolyticus"
"gene_id_4354788"	"IR_5_2"	14677.5582148261	"5"	"IR"	"2"	"COG4626"	"COG4626"	"COG4626"	"Phage terminase-like protein, large subunit"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces autolyticus"
"gene_id_11700123"	"DL_5_2"	14626.219134881	"5"	"DL"	"2"	"COG5280"	"COG5280"	"COG5280"	"Phage-related minor tail protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Actinosynnema"	"Actinosynnema mirum"
"gene_id_12636874"	"IR_50_5"	14438.4224488192	"50"	"IR"	"5"	"COG5412"	"COG5412"	"COG5412"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Kineosporiaceae"	"Kineococcus"	"Kineococcus radiotolerans"
"gene_id_1760970"	"DL_50_4"	14022.0021073748	"50"	"DL"	"4"	"COG2856"	"COG2856"	"COG2856"	"Predicted Zn peptidase"	"Amino acid transport and metabolism"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_1760915"	"DL_50_4"	13748.4020662553	"50"	"DL"	"4"	"PhnF"	"COG2188"	"PhnF"	"Transcriptional regulators"	"Transcription"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_1760914"	"DL_50_4"	12996.0019531767	"50"	"DL"	"4"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_1760847"	"DL_50_4"	12927.6019428968	"50"	"DL"	"4"	"mec"	"COG1310"	"COG1310"	"Predicted metal-dependent protease of the PAD1/JAB1 superfamily"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_2456437"	"DL_50_2"	12878.0388783311	"50"	"DL"	"2"	"PinR"	"COG1961"	"PinR"	"Site-specific recombinases, DNA invertase Pin homologs"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Streptosporangium"	"Streptosporangium roseum"
"gene_id_10223880"	"DL_50_4"	11628.0017475791	"50"	"DL"	"4"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium sp. JS623"
"gene_id_3060190"	"DL_50_2"	11156.3759266826	"50"	"DL"	"2"	"UbiH"	"COG0654"	"UbiH"	"2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases"	"Coenzyme metabolism / Energy production and conversion"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"Novosphingobium pentaromativorans"
"gene_id_12652408"	"DL_50_3"	10644.2897321467	"50"	"DL"	"3"	"ftsK, spoIIIE"	"COG1674"	"FtsK"	"DNA segregation ATPase FtsK/SpoIIIE and related proteins"	"Cell division and chromosome partitioning"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Nocardia"	"Nocardia farcinica"
"gene_id_1760988"	"DL_50_4"	10602.001593381	"50"	"DL"	"4"	"PhnF"	"COG2188"	"PhnF"	"Transcriptional regulators"	"Transcription"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces venezuelae"
"gene_id_307710"	"DL_50_3"	10220.9372996181	"50"	"DL"	"3"	"COG3464"	"COG3464"	"COG3464"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_4951779"	"IR_5_2"	10085.1933746044	"5"	"IR"	"2"	"parB, spo0J"	"COG1475"	"Spo0J"	"Stage 0 sporulation protein J (antagonist of Soj) containing ParB-like nuclease domain"	"Transcription"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces leeuwenhoekii"
"gene_id_12787166"	"DL_50_4"	10054.8015111419	"50"	"DL"	"4"	"K07497"	"COG2801"	"Tra5"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces aureofaciens"
"gene_id_12787166"	"DL_5_1"	9783.5044872865	"5"	"DL"	"1"	"K07497"	"COG2801"	"Tra5"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces aureofaciens"
"gene_id_1909492"	"DL_50_3"	9555.66919135894	"50"	"DL"	"3"	"COG4584"	"COG4584"	"COG4584"	"Transposase and inactivated derivatives"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces sp. 769"
"gene_id_4263771"	"DL_50_3"	9495.19027242629	"50"	"DL"	"3"	"COG4644"	"COG4644"	"COG4644"	"Transposase and inactivated derivatives, TnpA family"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces pactum"
"gene_id_931582"	"DL_50_3"	9313.75351562833	"50"	"DL"	"3"	"pdtaS"	"COG3920"	"COG3920"	"Signal transduction histidine kinase"	"Signal transduction mechanisms"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Kitasatospora"	"Kitasatospora setae"
"gene_id_10852633"	"DL_50_3"	9071.83783989773	"50"	"DL"	"3"	"ArgE"	"COG0624"	"ArgE"	"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"	"Amino acid transport and metabolism"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_11678057"	"DL_5_5"	9030.67921740616	"5"	"DL"	"5"	"COG4626"	"COG4626"	"COG4626"	"Phage terminase-like protein, large subunit"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_10283559"	"DL_50_3"	8648.48540736917	"50"	"DL"	"3"	"ABC.MS.S"	"COG1653"	"UgpB"	"ABC-type sugar transport system, periplasmic component"	"Carbohydrate transport and metabolism"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces griseochromogenes"
"gene_id_9051924"	"DL_5_3"	8629.68633195975	"5"	"DL"	"3"	"COG4626"	"COG4626"	"COG4626"	"Phage terminase-like protein, large subunit"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_2438666"	"DL_50_3"	7922.73838017735	"50"	"DL"	"3"	"AtoD"	"COG1788"	"AtoD"	"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"	"Lipid metabolism"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Catenulisporaceae"	"Catenulispora"	"Catenulispora acidiphila"
"gene_id_2626412"	"DL_5_1"	7881.15639253635	"5"	"DL"	"1"	"Pcm"	"COG2518"	"Pcm"	"Protein-L-isoaspartate carboxylmethyltransferase"	"Posttranslational modification, protein turnover, chaperones"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Saccharothrix"	"Saccharothrix espanaensis"
"gene_id_11728863"	"DL_50_3"	7741.3016233794	"50"	"DL"	"3"	"VirB4"	"COG3451"	"VirB4"	"Type IV secretory pathway, VirB4 components"	"Intracellular trafficking and secretion"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Catenulisporaceae"	"Catenulispora"	"Catenulispora acidiphila"
"gene_id_7297210"	"DL_50_3"	7680.82270444674	"50"	"DL"	"3"	"adhP"	"COG1064"	"AdhP"	"Zn-dependent alcohol dehydrogenases"	"General function prediction only"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Catenulisporaceae"	"Catenulispora"	"Catenulispora acidiphila"
"gene_id_5238685"	"DL_50_4"	7592.40114106636	"50"	"DL"	"4"	"COG0863"	"COG0863"	"COG0863"	"DNA modification methylase"	"DNA replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"	"Mycobacterium abscessus"
"gene_id_4354790"	"DL_5_1"	7541.45137561668	"5"	"DL"	"1"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces autolyticus"
"gene_id_11678059"	"DL_5_5"	7513.52510888193	"5"	"DL"	"5"	"COG4695"	"COG4695"	"COG4695"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_4444107"	"DL_50_3"	7499.38594764879	"50"	"DL"	"3"	"TauC"	"COG0600"	"TauC"	"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"	"Inorganic ion transport and metabolism"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces lydicus"
"gene_id_6998373"	"DL_50_3"	7438.90702871614	"50"	"DL"	"3"	"COG0433"	"COG0433"	"COG0433"	"HerA helicase"	"Replication, recombination, and repair"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Saccharothrix"	"Saccharothrix espanaensis"
"gene_id_11678071"	"DL_50_1"	7432.7146581413	"50"	"DL"	"1"	"COG5412"	"COG5412"	"COG5412"	"Phage-related protein"	"Function unknown"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces cattleya"
"gene_id_6521084"	"IR_5_2"	7383.8022921211	"5"	"IR"	"2"	"FadR"	"COG2186"	"FadR"	"Transcriptional regulators"	"Transcription"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces autolyticus"
